"Dataset:","LGBTI","","","","","",""
"Theme:","Discrimination","","","","","",""
"","","","","","","",""
"[1]: = not available due to small sample size","","","","","","",""
"[2]: = missing value","","","","","","",""
"Source of Data:","Placeholder","","","","","",""
"Last update:","4/1/2020","","","","","",""
"Hyperlink to the variable:","fra-demo-app4.eurodyn.com/en/data-and-maps/2020/lgbti-survey-data-explorer?plot=heatMap&topic=2. Discrimination&superSubset=0--All&subset=AllSubset&subsetValue=0. All","","","","","",""
"General Disclaimer of the FRA website:","http://fra.europa.eu/en/terms-and-conditions","","","","","",""
"Subset Value:","All","","","","","",""
"","","","","","","",""
"CountryCode","target_group","subset","question_code","question_label","answer","percentage","notes"
"Austria","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","47",""
"Austria","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","53",""
"Belgium","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","69",""
"Belgium","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","31",""
"Bulgaria","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","62",""
"Bulgaria","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","38",""
"Cyprus","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","58",""
"Cyprus","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","42",""
"Czechia","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","69",""
"Czechia","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","31",""
"Germany","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","47",""
"Germany","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","53",""
"Denmark","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","85",""
"Denmark","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","15",""
"Estonia","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","49",""
"Estonia","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","51",""
"Greece","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","87",""
"Greece","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","13",""
"Spain","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","64",""
"Spain","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","36",""
"Finland","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","60",""
"Finland","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","40",""
"France","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","61",""
"France","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","39",""
"Croatia","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","58",""
"Croatia","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","42",""
"Hungary","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","61",""
"Hungary","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","39",""
"Ireland","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","59",""
"Ireland","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","41",""
"Italy","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","33",""
"Italy","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","67",""
"Lithuania","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","39",""
"Lithuania","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","61",""
"Luxembourg","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","36",""
"Luxembourg","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","64",""
"Latvia","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","48",""
"Latvia","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","52",""
"Malta","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","39",""
"Malta","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","61",""
"Netherlands","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","68",""
"Netherlands","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","32",""
"Poland","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","93",""
"Poland","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","7",""
"Portugal","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","67",""
"Portugal","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","33",""
"Romania","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","67",""
"Romania","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","33",""
"Sweden","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","83",""
"Sweden","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","17",""
"Slovenia","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","33",""
"Slovenia","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","67",""
"Slovakia","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","33",""
"Slovakia","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","67",""
"United Kingdom","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","73",""
"United Kingdom","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","27",""
"EU-28","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","61",""
"EU-28","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","39",""
"North Macedonia","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","52",""
"North Macedonia","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","48",""
"Serbia","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","Yes","52",""
"Serbia","All","All","DEXaware_eqbod","Knowledge of at least one equality body in country","No","48",""
"Austria","All","All","DEXaware_suporg","","Yes","73",""
"Austria","All","All","DEXaware_suporg","","No","27",""
"Belgium","All","All","DEXaware_suporg","","Yes","76",""
"Belgium","All","All","DEXaware_suporg","","No","24",""
"Bulgaria","All","All","DEXaware_suporg","","Yes","60",""
"Bulgaria","All","All","DEXaware_suporg","","No","40",""
"Cyprus","All","All","DEXaware_suporg","","Yes","62",""
"Cyprus","All","All","DEXaware_suporg","","No","38",""
"Czechia","All","All","DEXaware_suporg","","Yes","57",""
"Czechia","All","All","DEXaware_suporg","","No","43",""
"Germany","All","All","DEXaware_suporg","","Yes","61",""
"Germany","All","All","DEXaware_suporg","","No","39",""
"Denmark","All","All","DEXaware_suporg","","Yes","60",""
"Denmark","All","All","DEXaware_suporg","","No","40",""
"Estonia","All","All","DEXaware_suporg","","Yes","58",""
"Estonia","All","All","DEXaware_suporg","","No","42",""
"Greece","All","All","DEXaware_suporg","","Yes","64",""
"Greece","All","All","DEXaware_suporg","","No","36",""
"Spain","All","All","DEXaware_suporg","","Yes","67",""
"Spain","All","All","DEXaware_suporg","","No","33",""
"Finland","All","All","DEXaware_suporg","","Yes","75",""
"Finland","All","All","DEXaware_suporg","","No","25",""
"France","All","All","DEXaware_suporg","","Yes","73",""
"France","All","All","DEXaware_suporg","","No","27",""
"Croatia","All","All","DEXaware_suporg","","Yes","68",""
"Croatia","All","All","DEXaware_suporg","","No","32",""
"Hungary","All","All","DEXaware_suporg","","Yes","70",""
"Hungary","All","All","DEXaware_suporg","","No","30",""
"Ireland","All","All","DEXaware_suporg","","Yes","64",""
"Ireland","All","All","DEXaware_suporg","","No","36",""
"Italy","All","All","DEXaware_suporg","","Yes","67",""
"Italy","All","All","DEXaware_suporg","","No","33",""
"Lithuania","All","All","DEXaware_suporg","","Yes","55",""
"Lithuania","All","All","DEXaware_suporg","","No","45",""
"Luxembourg","All","All","DEXaware_suporg","","Yes","67",""
"Luxembourg","All","All","DEXaware_suporg","","No","33",""
"Latvia","All","All","DEXaware_suporg","","Yes","56",""
"Latvia","All","All","DEXaware_suporg","","No","44",""
"Malta","All","All","DEXaware_suporg","","Yes","68",""
"Malta","All","All","DEXaware_suporg","","No","32",""
"Netherlands","All","All","DEXaware_suporg","","Yes","65",""
"Netherlands","All","All","DEXaware_suporg","","No","35",""
"Poland","All","All","DEXaware_suporg","","Yes","75",""
"Poland","All","All","DEXaware_suporg","","No","25",""
