"Dataset:","LGBTI","","","","","",""
"Theme:","Living openly and daily life","","","","","",""
"","","","","","","",""
"[1]: = not available due to small sample size","","","","","","",""
"[2]: = missing value","","","","","","",""
"Source of Data:","Placeholder","","","","","",""
"Last update:","4/1/2020","","","","","",""
"Hyperlink to the variable:","fra-demo-app4.eurodyn.com/en/data-and-maps/2020/lgbti-survey-data-explorer?plot=heatMap&topic=1. Living openly and daily life&superSubset=0--All&subset=AllSubset&subsetValue=0. All","","","","","",""
"General Disclaimer of the FRA website:","http://fra.europa.eu/en/terms-and-conditions","","","","","",""
"Subset Value:","All","","","","","",""
"","","","","","","",""
"CountryCode","target_group","subset","question_code","question_label","answer","percentage","notes"
"Austria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","2",""
"Austria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","7",""
"Austria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","40",""
"Austria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","27",""
"Austria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","15",""
"Austria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","5",""
"Austria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","3",""
"Austria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Austria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","0",""
"Belgium","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","2",""
"Belgium","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","5",""
"Belgium","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","37",""
"Belgium","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","25",""
"Belgium","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","20",""
"Belgium","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","6",""
"Belgium","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","4",""
"Belgium","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Belgium","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","0",""
"Bulgaria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","2",""
"Bulgaria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","5",""
"Bulgaria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","44",""
"Bulgaria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","30",""
"Bulgaria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","14",""
"Bulgaria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","4",""
"Bulgaria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","0",""
"Bulgaria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Bulgaria","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","0",""
"Cyprus","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","3",""
"Cyprus","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","10",""
"Cyprus","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","37",""
"Cyprus","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","25",""
"Cyprus","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","19",""
"Cyprus","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","4",""
"Cyprus","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","1",""
"Cyprus","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Cyprus","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","1",""
"Czechia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","1",""
"Czechia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","4",""
"Czechia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","43",""
"Czechia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","27",""
"Czechia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","15",""
"Czechia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","7",""
"Czechia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","2",""
"Czechia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Czechia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","1",""
"Germany","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","2",""
"Germany","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","5",""
"Germany","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","42",""
"Germany","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","24",""
"Germany","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","17",""
"Germany","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","6",""
"Germany","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","3",""
"Germany","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Germany","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","1",""
"Denmark","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","2",""
"Denmark","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","4",""
"Denmark","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","37",""
"Denmark","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","26",""
"Denmark","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","20",""
"Denmark","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","8",""
"Denmark","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","3",""
"Denmark","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Denmark","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","1",""
"Estonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","1",""
"Estonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","6",""
"Estonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","49",""
"Estonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","26",""
"Estonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","14",""
"Estonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","3",""
"Estonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","0",""
"Estonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
