"Dataset:","LGBTI","","","","","",""
"Theme:","Social attitudes and government response","","","","","",""
"","","","","","","",""
"[1]: = not available due to small sample size","","","","","","",""
"[2]: = missing value","","","","","","",""
"Source of Data:","Placeholder","","","","","",""
"Last update:","4/1/2020","","","","","",""
"Hyperlink to the variable:","fra-demo-app4.eurodyn.com/en/data-and-maps/2020/lgbti-survey-data-explorer?plot=heatMap&topic=4. Social attitudes and government response&superSubset=0--All&subset=AllSubset&subsetValue=0. All","","","","","",""
"General Disclaimer of the FRA website:","http://fra.europa.eu/en/terms-and-conditions","","","","","",""
"Subset Value:","All","","","","","",""
"","","","","","","",""
"CountryCode","target_group","subset","question_code","question_label","answer","percentage","notes"
"Austria","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","Yes, definitely","5",""
"Austria","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","Yes, probably","31",""
"Austria","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","No, probably not","45",""
"Austria","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","No, definitely not","19",""
"Belgium","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","Yes, definitely","6",""
"Belgium","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","Yes, probably","41",""
"Belgium","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","No, probably not","42",""
"Belgium","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","No, definitely not","11",""
"Bulgaria","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","Yes, definitely","1",""
"Bulgaria","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","Yes, probably","7",""
"Bulgaria","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","No, probably not","28",""
"Bulgaria","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","No, definitely not","64",""
"Cyprus","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","Yes, definitely","2",""
"Cyprus","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","Yes, probably","17",""
"Cyprus","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","No, probably not","46",""
"Cyprus","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","No, definitely not","35",""
"Czechia","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","Yes, definitely","5",""
"Czechia","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","Yes, probably","34",""
"Czechia","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","No, probably not","39",""
"Czechia","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","No, definitely not","22",""
"Germany","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","Yes, definitely","4",""
"Germany","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","Yes, probably","28",""
"Germany","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","No, probably not","51",""
"Germany","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","No, definitely not","18",""
"Denmark","All","All","DEXgov_resp","Does the government in the country where you live respond adequately to the safety needs of LGBTI people?","Yes, definitely","14",""
